"closed-back","closed back,closed back headphones,closed back design,closed back headphone,closed-back"
"coaxial","proprietary,mmcx,coaxial"
"coherent","precise,crossover,linear,bore,coherent"
"convertible headphones","convertible"
"crossfeed","crossfeed, stereo, crossfeed"
"current","current"
"custom earphones","custom,customized,custom earphones"
"dac","dac,fiio,asus,schiit,soundcard,dacs,magni,behringer,dragonfly,modi,e10k,preamp,a3"
"damping factor","factor,form factor,damping factor"
"dbr","equilizer, dbr"
"decibel","decibel"
"decibel db","db,hz,85,khz,mw,nrr,96,1khz,3db,spl,hertz,thd,decibel db"
"digital","pcm,digital"
"digital inputs","digital inputs, digital input"
"directional microphones","3d,directional,spatial,positional,directional microphones"
"distortion","distortion,interruption,degradation,disturbance,tinniness"
"diy","diy"
"driver","driver,transducer,balanced armature driver,1more triple driver"
"ear clips","ear clips,ear,earlobe,ear buds,ear headphones,ear pieces,one ear,ear piece,right ear,left ear,ear canal,ear pads,ear cups,ear tips,fit ear,ear phones,ear plugs,size ear,ear canals,ear sound,ear cushions,wireless ear,inside ear,ear hooks,small ear,ear well,ear cup,different ear,comfortable ear,fall ear,pair ear,like ear,sizes ear,rubber ear,ear design,good ear,quality ear,ear muffs,ear fit,extra ear,headphones ear,foam ear,sized ear,ear pods,set ear,ear monitors,use ear,great ear,bluetooth ear,ear hook"
"ear hangers","ear hangers,hangers"
"ear headphone","ear headphone,ear earphone mic,ear bud headphonesear buds,different ear bud,ear earphone mic,ear bud headphones,ear bud work,size ear bud"
"earbud","earbud,earpiece,left earbud,right earbud,one earbud,earbud in,earbud stopped,one bud,earbud headphones,earbud ,tips,left earpiece,use one earbud,one earbud time,use left earbud,use right earbud,left right earbud,one earbud in,in right earbud,pair right earbud,in left earbud,different earbud sizes,using one earbud,ear bud,ear earbuds,earbuds ear,one ear bud,ear bud sizes,ear bud covers,ear buds earbuds,earbuds ear buds,different ear bud,ear bud work,size ear bud"
"earbud gels","earbud gels,gels"
"earcup","side,earcup,side side,side headphones"
"earpad","pad,cushion,earpads,gel,earpad,memory foam,memory foam tips"
"efficiency","efficiency,density"
"filter switch","filter, switch, filter switch"
"folding headband","headband,band,folding,head band,folding headband"
"frequency response","frequency response,treble,frequency,midrange,freq,mid range,frequency response,low frequency,frequency range,high frequency,mid high range"
"full size","size,sized, sized,right size,size fit,size earbuds,size ears,size fits,one size,perfect size,sized ears,size buds,full size headphones"
"full-sized jack","jack, full-sized jack"
"gain switch","switch,switching,toggle,nintendo switch,gain switch"
"harmonic distortion","hiss,hissing,sibilance,muddiness,harshness,static sound,harmonic distortion"
"headphone amplifier","headphone amp,headphone amplifier"
"headphone efficiency","pair earbuds,earbuds sound,quality earbuds,quality headphone,good headphone,product earbuds,headphone good,headphone great,earbuds awesome,great headphone,inexpensive earbuds,headset works,earbuds definitely,purchase earbuds,end earbuds,headphone sound quality,sound quality headphone"
"headphone sensitivity","headphone sensitivity,headphone impedance,headphone ohm"
"image depth","depth,image depth"
"image width","picture,photo,image,width"
"imaging","clarity,separation,sonic,accuracy,imaging,tonal,timbre,staging"
"impedance","sensitivity,impedance,ohm"
"in-ear","in ear,in place,comfortably in,ear in,snug in,place in,secure in,snugly in,in head,securely in,head in,in ear headphones,stay in ear,fit in ear,in one ear,comfortable in ear,in ear canal,comfortably in ears,ear buds in,in ear buds,in ear sound,in ear well,well in ear,in ear monitors,comfortably in ear,in left ear,in right ear,put in ear,in ear earbuds,stays in place,perfectly in ear,in ear headphone,stays in ear,snug in ear,in ear without,fits in ear,goes in ear"
"in-ear monitor","fit comfortably in,in ear monitor,sit comfortably in"
"in-the-ear","inside,inside ears,in place even,part goes in,in one place"
"infrared ir transmission","signal,transmission,antenna,bandwidth, infrared ,ir transmission,infrared  transmission"
"input impedance","input,voltage,input impedance"
"isolation","cancelling,cancellation,canceling,isolation,reduction,cancelation,isolating,reducing,muffling,attenuation,dampening,suppression,blockage,pollution,elimination,insulating,rejection,cancelling headphones,canceling headphones,sound isolation,cancellation good,cancellation great,cancellation works,cancelling works,cancellation sound,cancellation feature,sound cancellation,cancellation headphones,cancelling sound,sound cancelling,blocking outside"
"laid back","back,back in,put back,go back,send back,in back,back headphones,going back,back forth,money back,get back,turn back,sending back,back head,back case,headphones back,went back,around back,back in case,put back in,in back pocket,putting back in,back in charging,phone in back,push back in,never go back,write back dydcs,back dydcs outlook,back in box,headphones back in,earbuds back in,put back case,place back in,keep coming back,back in charger"
"linear amplifier","linar amplifier, amplification,  linear amplification"
"liquid sounding","sounding,sounding headphones,sounding earbuds,good sounding,sounding headphones ever,good sounding headphones,sounding headphones"
"listening fatigue","listening,fatigue,listening music,listening experience,music listening,hours listening,listening audio,use listening,whatever listening,listening music talking,fall asleep listening,sounds like listening"
"lush","rich,smooth,punchy,airy,mellow,lively,lush,undistorted,impactful,clear bass,bass clear,rich bass,bass clear highs,good deep bass"
"mini plug","plug,jack,connector,mini,socket,plugin,receptacle,plug in,headphone jack,5mm jack,5mm headphone jack,5mm audio jack,standard headphone jack,mm headphone jack,plug in headphones"
"mp3 mpeg layer 3 file.","mp3,cd,file,flac,format,lossless,mp3s,cassette,320,wav,mp3 player,cd player,phone mp3 player"
"neodymium magnets","neodymium,planar,beryllium"
"noise attenuation","hum,chatter,drone,outside noise,background noise,quality noise,ambient noise,block noise,white noise,external noise,wind noise,surrounding noise,engine noise,hear noise,sound quality noise,hear outside noise,hear background noise,lot background noise,noise sound quality,outside noise well,noise in background,much background noise,lot outside noise,quality sound noise,job blocking noise,noise still hear,quality excellent noise,noise cancelling noise"
"noise cancelling headphones","anc,nc,environmental,droning,noisegard,noise cancelling,noise cancellation,noise canceling,noise reduction,noise cancelation,ambient sound,anc headphones,cancelling noise,noice cancellation,canceling noise,noise cancelling headphones,active noise cancelling,noise canceling headphones,quality noise cancellation,noise cancelling feature,good noise cancellation,active noise cancellation,noise cancellation good,great noise cancellation,noise cancellation great,good noise cancelling,noise canceling feature"
"noise-compensation","noise,noice,nose,roar,active noise,good noise,great noise,sound noise,noise in,headphones noise,noise well,noise around,better noise,noise sound,much noise,in noise,passive noise,bose noise,lot noise,excellent noise,well noise,price noise,turn noise,noise like,best noise,pair noise,use noise,without noise,comfortable noise,ear noise,static noise,cancels noise,like noise,bass noise,noise headphones,amazing noise,loud noise,noise great,noise good,job noise"
"noise-isolating","passively,cancel noise,noise isolating,blocking noise,noise blocking,noise cancel,block outside noise,cancel outside noise,cancel noise well,blocking outside noise,block ambient noise,block background noise,good noise isolation,block external noise,really cancel noise,blocking ambient noise,cancel noise around,headphones cancel noise,good noise reduction,reduce ambient noise,block noise well"
"ohms","ohms"
"omni-directional","3d surround, omni directional"
"on-ear","on ear, onear,on  ear"
"on-the-ear","left right ear,right left ear,on-the-ear, on the ear"
"op-amp","amp,op, op amp"
"opa 627","opa, opa 627,op 627,opa627"
"open","open,in open"
"optical","optical,rca,auxiliary,hdmi,av,toslink,optic"
"otl tube amps","tube,olt tube, olt amps, olt tube amps"
"output impedance","output,audio output,output impedance"
"over-ear","over ear,over head,ear over,over ear headphones,over ear headphone,headphones over ear,bluetooth over ear,pair over ear,over ear design,ear over ear,comfortable over ear,over ear bluetooth,like over ear,fit over ear,over ear style,over ear noise,over ear phones,goes over ear,over ear headset,go over ear,over ear piece,over ear ear,wireless over ear,good over ear,ear buds over,over ear fit,set over ear,bose over ear,over head headphones,over ear hook,fit comfortably over,over ear head,comfortably over ears"
"portable headphones","compact,portable,portable dvd player"
"power amplifier","power amplification, power amplifier"
"power supply","power,power bank,battery power,power supply"
"punch","punch"
"radio frequency rf transmission","rf transmission, radio transmission,rd transmission"
"resonance","vibration,diaphragm,chamber,resonance,brass,airflow,damping,transient,coloration,rigidity"
"s/pdif","s/pdif, spdif"
"sealed","sealed"
"self-powered speakers","powered,self, self-powered"
"single-sided cord","single-sided, single sided cord, single sided cords"
"solid state","solid,state,solid state"
"soundstage","stage,soundstage,spacious,soundscape"
"speaker","speaker,left speaker"
"sport headphones","sport,running headphones, jogging headphones, jogging, running, sport headphone, sports"
"square wave response","square wave, square response, square wave response"
"supra-aural","aural,supra,supra-aural"
"swivel earcups","cup,earcups,swivel,rotate,hinge,joint,pivot,rotating,inward,swiveling,axis,inwards,swivel earcups"
"talkthrough button","talkthrough button,control,button,tap,touchpad,volume control,control volume,power button,volume button,touch control,pause button,control buttons,press button,function button,push button,hold button,one button,mute button,control button,remote control,multi function button,play pause button,hold power button,volume control headphones,headphones volume control,pause play button,volume control buttons,volume control works,volume control button,inline volume control,power button seconds,press power button"
"transient response","response,bass response,good bass response,great bass response,transient response"
"transistor","radio,fm,shack,transistor,ham,sirius,xm,fm radio"
"tube amplifier","onkyo,turntable,tube amplifier"
"usb","usb,microusb,micro usb,usb cable,usb charging,usb port,usb charger,usb charging cable,micro usb cable,micro usb charging,usb charging port,usb cable charging,micro usb port"
"virtual surround sound","virtual surround sound,sound,surround,virtual,sound quality,sound great,great sound,good sound,sound good,quality sound,headphones sound,sound amazing,clear sound,sound clear,sound really,amazing sound,excellent sound,sound headphones,ears sound,sound sound,bass sound,decent sound,nice sound,music sound,sound bass,sound excellent,sound awesome,surround sound,overall sound,sound nice,stars sound,awesome sound,buds sound,sound fantastic,sound comfort,sound decent,sound coming,sound crisp,stereo sound"
"voip","voip,conference,skype,telephone,discord,zoom,voip,webex,facetime,whatsapp,conference calls"
"warmth","presence,warmth,fullness,sparkle,brightness,deep bass,bass heavy,bass treble,heavy bass,bass boost,bass deep,powerful bass,lack bass,treble bass,punchy bass,little bass heavy"
"wireless","wireless,tws,cordless,wirless,wireless earbuds,wireless headphones,true wireless,pair wireless,wireless charging,wireless earphones,wireless headset,wireless headphone,truly wireless,set wireless,wireless buds,quality wireless,wireless charger,headphones wireless,best wireless,looking wireless,wireless earbud,great wireless,good wireless,wired wireless,in wireless,use wireless,price wireless,first wireless,earbuds wireless,true wireless earbuds,pair wireless earbuds,pair wireless headphones"
